"Year","Player","Pos","Age","Tm","G","MP","PTS","AST","TRB","STL","BLK","FG.","X3P","X3PA","X3P.","FT.","PER","WS","BPM","VORP","TS."
1990,"Chris Dudley","PF",24,"CLE",37,684,184,20,203,19,41,0.389,0,0,NA,0.338,8.7,-0.2,-5.1,-0.5,0.388
1990,"Chris Dudley","PF",24,"NJN",27,672,166,19,220,22,31,0.441,0,0,NA,0.305,10.3,0.3,-2.9,-0.1,0.419
1990,"Joe Dumars*","SG",26,"DET",75,2578,1335,368,212,63,2,0.48,22,55,0.4,0.9,17.2,8.7,1.5,2.3,0.555
1990,"Mike Dunleavy","PG",35,"MIL",5,43,17,10,2,1,0,0.286,2,9,0.222,0.875,5.1,-0.1,-11.1,-0.1,0.485
1990,"T.R. Dunn","SF",34,"DEN",65,657,114,43,138,41,4,0.454,0,2,0,0.667,9.8,1.4,0.2,0.4,0.499
1990,"Ledell Eackles","SG",23,"WSB",78,1696,1055,182,175,50,4,0.439,19,59,0.322,0.75,14.3,1,-4.2,-0.9,0.496
1990,"Mark Eaton","C",33,"UTA",82,2281,395,39,601,33,201,0.527,0,0,NA,0.669,10.6,5.3,1.9,2.3,0.561
1990,"Blue Edwards","SF",24,"UTA",82,1889,727,145,251,76,36,0.507,9,30,0.3,0.719,10.7,2.7,0,1,0.556
1990,"James Edwards","C",34,"DET",82,2283,1189,63,345,23,37,0.498,0,3,0,0.749,13.3,5.6,-2.4,-0.2,0.549
1990,"Jay Edwards","SG",21,"LAC",4,26,7,4,2,1,0,0.429,0,2,0,0.333,7.8,0,-5.1,0,0.421
1990,"Kevin Edwards","SG",24,"MIA",78,2211,938,252,282,125,33,0.412,9,30,0.3,0.76,11.6,0.3,-2.3,-0.1,0.451
1990,"Craig Ehlo","SG",28,"CLE",81,2894,1102,371,439,126,23,0.464,104,248,0.419,0.681,14.5,6.5,2.6,3.4,0.539
1990,"Sean Elliott","SF",21,"SAS",81,2032,810,154,297,45,14,0.481,1,9,0.111,0.866,12.5,4.6,-0.9,0.6,0.546
1990,"Dale Ellis","SG",29,"SEA",55,2033,1293,110,238,59,7,0.497,96,256,0.375,0.818,19,6.4,2.5,2.3,0.58
1990,"Pervis Ellison","C",22,"SAC",34,866,271,65,196,16,57,0.442,0,2,0,0.628,10.3,0.4,-2.1,0,0.475
1990,"Alex English*","SF",36,"DEN",80,2211,1433,225,286,51,23,0.491,2,5,0.4,0.88,17.9,5.1,-0.2,1,0.522
1990,"Patrick Ewing*","C",27,"NYK",82,3165,2347,182,893,78,327,0.551,1,4,0.25,0.775,25.8,13.5,4.6,5.2,0.599
1990,"Jim Farmer","SG",25,"SEA",38,400,243,25,43,17,1,0.438,8,27,0.296,0.713,15.5,0.7,-3.3,-0.1,0.51
1990,"Duane Ferrell","SF",24,"ATL",14,29,12,2,7,1,0,0.357,0,1,0,0.333,8.1,-0.1,-8.6,0,0.361
1990,"Vern Fleming","PG",27,"IND",82,2876,1176,610,322,92,10,0.508,12,34,0.353,0.782,16.3,6.7,0.7,2,0.561
1990,"Sleepy Floyd","PG",29,"HOU",82,2630,1000,600,198,94,11,0.451,89,234,0.38,0.806,14.2,6.3,-0.8,0.8,0.552
1990,"Tellis Frank","PF",24,"MIA",77,1762,735,85,385,51,27,0.458,0,0,NA,0.765,11.1,2,-2.8,-0.4,0.518
1990,"Corey Gaines","SG",24,"PHI",9,81,10,26,5,4,0,0.333,1,2,0.5,0.25,6.2,-0.1,-9.9,-0.2,0.363
1990,"Kevin Gamble","SF",24,"BOS",71,990,362,119,112,28,8,0.455,3,18,0.167,0.794,12.3,1.9,-1.7,0.1,0.52
1990,"Winston Garland","PG",25,"TOT",79,1762,574,303,214,78,10,0.401,12,36,0.333,0.836,9.8,-0.3,-3.8,-0.8,0.458
1990,"Winston Garland","PG",25,"GSW",51,891,270,157,111,48,5,0.375,1,10,0.1,0.841,9.1,-0.7,-4.9,-0.6,0.428
1990,"Winston Garland","PG",25,"LAC",28,871,304,146,103,30,5,0.428,11,26,0.423,0.831,10.6,0.4,-2.6,-0.1,0.489
1990,"Tom Garrick","SG",23,"LAC",73,1721,508,289,162,90,7,0.494,4,21,0.19,0.772,11.8,2.5,-1.7,0.1,0.539
1990,"Kenny Gattison","PF",25,"CHH",63,941,372,39,197,35,31,0.55,1,1,1,0.682,12.9,1.5,-1.3,0.2,0.586
1990,"Derrick Gervin","PF",26,"NJN",21,339,251,8,65,20,7,0.472,0,3,0,0.73,22.9,1.3,-1.2,0.1,0.531
1990,"Armen Gilliam","PF",25,"TOT",76,2426,1271,99,599,69,51,0.515,0,2,0,0.723,16.6,4.5,-0.3,1.1,0.565
1990,"Armen Gilliam","PF",25,"PHO",16,267,143,8,70,6,5,0.43,0,0,NA,0.696,14.4,0.5,-5.1,-0.2,0.491
1990,"Armen Gilliam","PF",25,"CHH",60,2159,1128,91,529,63,46,0.527,0,2,0,0.727,16.9,4.1,0.3,1.3,0.576
1990,"Mike Gminski","C",30,"PHI",81,2659,1112,128,687,43,102,0.457,3,17,0.176,0.821,15.7,6,-0.6,0.9,0.503
1990,"Gary Grant","PG",24,"LAC",44,1529,575,442,195,108,5,0.466,5,21,0.238,0.779,15.3,1.3,0.2,0.8,0.507
1990,"Greg Grant","PG",23,"PHO",67,678,208,168,59,36,1,0.384,3,16,0.188,0.661,9.7,-0.1,-5.3,-0.6,0.43
1990,"Harvey Grant","PF",24,"WSB",81,1846,664,131,342,52,43,0.473,0,8,0,0.701,12,2.6,-1.4,0.3,0.502
1990,"Horace Grant","PF",24,"CHI",80,2753,1071,227,629,92,84,0.523,0,0,NA,0.699,16.6,8,2.1,2.9,0.555
